상권_코드,상권_코드_명,상권_구분_코드_명,상권_유형_더미,자치구_코드,자치구_코드_명,면적_km2,log_sales,log_sales_total,유동인구,직장인구,점포_수,개업률,폐업률,경쟁_집중도,식음료_비율
3110214,경희대후문,골목상권,0,11230,동대문구,0.079862,17.514257518631744,21.85797857733261,1692100.75,295.0,77.0,7.127199999999999,6.190975000000001,1.255663430420712,0.4854368932038835
3110215,회기역 1번,골목상권,0,11230,동대문구,0.051478,16.55057422447714,20.525450092039687,882381.5,67.0,53.25,2.830875,3.311625,1.1168224299065421,0.205607476635514
3110216,전농중학교,골목상권,0,11230,동대문구,0.065069,16.675823514850684,21.49608876400275,448661.5,478.0,124.0,3.221,2.8242499999999997,1.1026156941649898,0.23541247484909456
3110217,자동차부품상가,골목상권,0,11230,동대문구,0.056649,13.164327708882505,19.265739341853727,633604.75,588.0,446.5,1.3976,1.1205,1.0016787912702854,0.01790710688304421
3110218,답십리사거리,골목상권,0,11230,동대문구,0.08216,17.208606909899615,22.363322786359078,1104419.25,413.0,173.25,5.195875,4.4791,1.0619596541786744,0.25504322766570603
3110220,외대앞역 1번,골목상권,0,11230,동대문구,0.098625,17.275693742368077,23.06541353368781,1541427.5,691.0,327.0,3.514925,5.513375,1.161955691367456,0.4675324675324675
3110225,촬영소사거리,골목상권,0,11230,동대문구,0.054806,15.734761685858667,20.606127427018787,591854.5,575.0,130.5,2.68205,2.492675,1.095602294455067,0.18929254302103252
3110226,장안1동주민센터,골목상권,0,11230,동대문구,0.285861,16.991640404792886,23.451902597234508,3025470.25,1990.0,639.25,4.536725,3.320175,1.0746677091477717,0.23182173573103987
3110229,장평중학교,골목상권,0,11230,동대문구,0.205648,17.456369922644146,23.199981549216634,1464154.25,1112.0,312.25,3.7575000000000003,2.821725,1.0584,0.2032
3110232,동대부고,골목상권,0,11230,동대문구,0.104535,18.120355707727086,23.54405139651168,705128.5,1118.0,226.75,3.619375,2.6450750000000003,1.1090308370044053,0.14096916299559473
3110233,중랑역 1번,골목상권,0,11260,중랑구,0.12433,16.75145536364269,21.740169836899288,1591574.5,131.0,146.75,3.06945,2.387975,1.0391156462585034,0.2108843537414966
3110234,중랑역 4번,골목상권,0,11260,중랑구,0.058421,16.920029228038256,21.335765975931324,460323.5,143.0,82.75,3.930825,2.428375,1.1295180722891567,0.24397590361445784
3110236,신묵초등학교,골목상권,0,11260,중랑구,0.18065,15.709478687161337,21.412306206002505,2002564.5,597.0,299.75,3.6662,2.2445749999999998,1.055,0.2275
3110237,메가박스 상봉,골목상권,0,11260,중랑구,0.12441,16.771684701332834,22.36545799359989,1133446.5,583.0,268.75,5.025575,4.278625,1.095724907063197,0.41263940520446096
3110241,먹골역 5번,골목상권,0,11260,중랑구,0.099076,17.355031213120277,22.98432456942588,1268033.5,773.0,278.5,4.6816,3.2326,1.052914798206278,0.2717488789237668
3110242,면목5동주민센터,골목상권,0,11260,중랑구,0.10501,15.321924613938418,20.033496993185306,889770.5,323.0,111.25,4.928925,2.948975,1.0717488789237668,0.19282511210762332
3110243,중랑노인종합복지관,골목상권,0,11260,중랑구,0.128302,16.373426704551918,21.972701028992798,1214755.25,298.0,270.25,4.066775,2.48725,1.055452865064695,0.2680221811460259
3110244,중화역 4번,골목상권,0,11260,중랑구,0.063066,18.045145370994994,23.101259290468874,944003.0,375.0,157.0,5.247975,4.78955,1.1176470588235294,0.32591414944356123
3110245,KB국민은행 중화동지점,골목상권,0,11260,중랑구,0.062374,16.86654041973399,20.711198224784923,478351.0,60.0,46.75,2.1397,0.543475,1.0585106382978724,0.11702127659574468
3110246,월드순복음교회,골목상권,0,11260,중랑구,0.087353,16.5677693285324,21.489568380636214,1209208.25,400.0,137.25,3.6403749999999997,4.189125,1.0618181818181818,0.2636363636363636
3110247,먹골역 1번,골목상권,0,11260,중랑구,0.148439,16.5273637156222,21.928851847760654,1794932.25,537.0,221.75,4.61925,3.842925,1.115990990990991,0.14864864864864866
3110249,중화역 1번,골목상권,0,11260,중랑구,0.170317,16.555577710528148,22.077891117164476,1673106.5,909.0,250.25,5.0869,3.1838249999999997,1.0798403193612773,0.1377245508982036
3110251,장안중학교,골목상권,0,11260,중랑구,0.090556,15.587609465336078,20.651671568496518,1109085.0,344.0,158.25,3.6380500000000002,3.0121,1.0347003154574133,0.16246056782334384
3110252,장안제일시장,골목상권,0,11260,중랑구,0.121544,17.271881816920033,22.5698740307487,921725.75,668.0,200.0,4.0075,2.0187,1.0574282147315854,0.2846441947565543
3110253,중곡초등학교,골목상권,0,11260,중랑구,0.086503,17.004875995163513,22.140535944487702,969347.75,366.0,170.0,3.947575,3.838375,1.0719530102790014,0.2540381791483113
3110255,상봉역 4번,골목상권,0,11260,중랑구,0.191245,16.996770342522566,22.617128356082446,2829959.25,788.0,276.0,3.710825,3.1643250000000003,1.0705882352941176,0.2669683257918552
3110256,면목2동체육관,골목상권,0,11260,중랑구,0.221861,16.299349888149443,21.868404125057555,1555095.0,453.0,262.25,3.916125,2.5833,1.0647619047619048,0.17333333333333334
3110257,상봉역 7번,골목상권,0,11260,중랑구,0.114328,15.02399955410296,19.64370600908936,1642856.0,294.0,101.5,4.650175,2.21455,1.0417690417690417,0.16707616707616707
3110258,면동초등학교,골목상권,0,11260,중랑구,0.111432,16.428241454812014,21.48422960375852,1152719.75,190.0,157.0,4.925725,3.347575,1.0747217806041336,0.2082670906200318
3110259,사가정역 1번,골목상권,0,11260,중랑구,0.086298,16.58240527545789,21.9162354592361,1123109.25,362.0,207.25,4.582575,2.7811250000000003,1.0759036144578313,0.3301204819277108
3110260,면목역 3번,골목상권,0,11260,중랑구,0.065941,16.85459157906322,21.868223021460395,1081464.5,154.0,150.5,3.8175499999999998,2.003275,1.0597014925373134,0.21724709784411278
3110261,사가정역 4번,골목상권,0,11260,중랑구,0.109503,16.072335408538738,21.129646669163456,1661563.25,223.0,157.25,6.53395,3.0265999999999997,1.0873015873015872,0.2
3110262,상봉역 3번,골목상권,0,11260,중랑구,0.121975,16.788761977499846,22.355992841424424,1608710.0,1412.0,261.75,5.542375,3.627025,1.0763358778625953,0.42843511450381677
3110263,면목역 1번,골목상권,0,11260,중랑구,0.152104,15.966271759999765,20.920245630657647,1969315.5,187.0,141.75,5.80125,4.588175,1.0704225352112675,0.18309859154929578
