상권_코드,n_images,seg_building,seg_window,seg_sign,seg_road,seg_sidewalk,seg_green,seg_sky,seg_person,seg_car,seg_entropy
3110790,18,0.5830722384982638,0.0,0.0703796810574001,0.0982670254177517,0.0546798706054687,0.0201973385281033,0.0773417154947916,0.0012772878011067,0.0649549696180555,1.184638440746034
3110803,18,0.5668224758572049,0.0,0.0473791758219401,0.1351473066541883,0.045053482055664,0.0416969723171658,0.0512631734212239,0.0031534830729166,0.0556812286376953,1.295346204368402
3110542,18,0.6701992882622613,0.0,0.0253435770670572,0.1551549699571397,0.058913336859809,0.0030994415283203,0.0144263373480902,0.0033821529812282,0.050925784640842,0.99709860716806
3110548,18,0.5510614183213975,0.0002759297688802,0.0312989552815755,0.1577059427897135,0.0751330057779948,0.0350242190890842,0.0983647240532769,0.0017325083414713,0.0286585489908854,1.2720649350343658
3110237,18,0.5241572062174479,0.0,0.0389109717475043,0.1772808498806423,0.0629980299207899,0.048281987508138,0.051267835828993,0.0042383405897352,0.0706331464979383,1.3007500413624085
3110519,18,0.5295583936903212,0.0003416273328993,0.0367156134711371,0.1255580054389106,0.0762805938720703,0.0511466132269965,0.0763200124104817,0.0079419877794053,0.0673410627577039,1.3738603532875484
3110458,18,0.6238127814398872,0.0014152526855468,0.0484155019124349,0.122285419040256,0.0636653900146484,0.0029860602484809,0.0456723107231987,0.0112177530924479,0.0508906046549479,1.1821323026258588
3110465,18,0.678812238905165,0.0052348242865668,0.0535083346896701,0.0762269761827257,0.071717792087131,0.0104346805148654,0.0185010698106553,0.0063258277045355,0.0371860928005642,1.0598048389969648
3110856,18,0.5459804534912109,0.0034802754720052,0.0337617662217882,0.1534411112467447,0.0661273532443576,0.0085150400797526,0.0927499135335286,0.0026868184407552,0.0704739888509114,1.21475064726125
3110857,18,0.6140558454725478,0.0004083845350477,0.058971193101671,0.0841757456461588,0.0837039947509765,0.0097713470458984,0.0309956868489583,0.0023555755615234,0.0845398373074001,1.1345764215851917
3110860,18,0.5054993099636502,2.755059136284722e-06,0.0264261033799913,0.1597381167941623,0.0713013543023003,0.0241919623480902,0.0925784640842014,0.0070656670464409,0.0828463236490885,1.3926463682909926
3110407,18,0.595386717054579,0.0056040022108289,0.0467342800564236,0.1450061798095703,0.0528757307264539,0.0056379106309678,0.0765438079833984,0.0005565219455295,0.0440180036756727,1.1686830102574646
3110410,18,0.5231204562717013,0.0,0.0327960120307074,0.2065590752495659,0.101335949367947,0.0223128000895182,0.058641857571072,0.0043021308051215,0.0343663957383897,1.2763944597098138
3110411,18,0.5543802049424913,0.0045797559950086,0.0738887786865234,0.1288549635145399,0.0562051137288411,0.0204694535997178,0.083333757188585,0.0001725090874565,0.0481548309326171,1.3345904894384215
3110181,18,0.6235752105712891,0.0017990536159939,0.0226919386121961,0.106099870469835,0.0451420678032769,0.0383099450005425,0.0350869496663411,0.004930920071072,0.0614229838053385,1.1629640783119568
3110205,18,0.5479560428195529,0.0001998477511935,0.022799809773763,0.1531569163004557,0.0358880360921224,0.0977666642930772,0.0543231964111328,0.0035205417209201,0.0483826531304253,1.2429898625426283
3110468,18,0.5060676998562283,0.0,0.0183838738335503,0.2393421596950954,0.0659313201904296,0.0265558030870225,0.0880966186523437,0.0066710578070746,0.0373961130777994,1.315816923641945
3110471,18,0.6057949066162109,1.71661376953125e-05,0.0429698096381293,0.1464631822374132,0.0548008812798394,0.0060759650336371,0.0581936306423611,0.0038973490397135,0.0430020226372612,1.1636330264805217
3110479,18,0.5854839748806424,0.0,0.0448663499620225,0.1430320739746093,0.0877600775824652,0.0020122528076171,0.0736346774631076,0.0047529008653428,0.0324067009819878,1.1658086946071782
3120077,18,0.6288356781005859,0.0002079010009765,0.0653288099500868,0.1103829277886284,0.0652018653021918,0.0105773078070746,0.0528494517008463,0.0054488711886935,0.0330666436089409,1.1808405092762355
3120084,18,0.4863853454589844,0.000298606024848,0.032319598727756,0.2249893612331814,0.0272004869249131,0.0178642272949218,0.112225850423177,0.00115966796875,0.0838786231146918,1.267006515029382
3120088,18,0.5384184519449869,1.6530354817708332e-05,0.0413725111219618,0.1956515842013889,0.067630132039388,0.0246092478434244,0.0402829911973741,0.0102909935845269,0.0565539466010199,1.314134310554946
3110432,18,0.5401068793402778,0.0005762312147352,0.0566696590847439,0.1273801591661241,0.0806181165907118,0.0152842203776041,0.0723359849717882,0.0012522803412543,0.0480770534939236,1.2856746258816236
3110437,18,0.5026546054416232,0.0292523701985677,0.0469646453857421,0.1151402791341145,0.0508331722683376,0.0388372209337022,0.0911384158664279,0.0009500715467664,0.0806857215033637,1.280137890183766
3110438,18,0.5719394683837891,0.0001008775499131,0.0590907202826605,0.1881999969482422,0.0706553988986545,0.0207263098822699,0.0369360182020399,0.0071307288275824,0.026384777492947,1.2225431498374018
3110907,18,0.6636310153537326,0.0004709031846788,0.0369447072347005,0.1104168362087673,0.0735575358072916,0.021243413289388,0.0243377685546875,0.014876471625434,0.0280087788899739,1.0217732548140266
3110449,18,0.5927668677435981,0.0,0.0343799591064453,0.1808196173773871,0.073736826578776,0.0119872623019748,0.0456331041124132,0.0009346008300781,0.0325993431939019,1.185647851082544
3120133,18,0.5733746422661675,0.0005276997884114,0.0440485212537977,0.1303130255805121,0.0661301083034939,0.0103893280029296,0.0565520392523871,0.0113529629177517,0.059995863172743,1.2575702201316992
3110869,18,0.5660476684570312,6.781684027777777e-06,0.0432779524061414,0.1465695699055989,0.0623908572726779,0.0508126152886284,0.0457009209526909,0.0080778333875868,0.0559495290120442,1.2685511074356446
